Data,Não indexadas,Indexados,Impressões
2025-12-28,,,0
2025-12-29,,,0
2025-12-30,,,1
2025-12-31,,,9
2026-01-01,,,25
2026-01-02,57,9,6
2026-01-03,57,9,5
2026-01-04,57,9,23
2026-01-05,57,9,22
2026-01-06,57,9,35
2026-01-07,57,9,47
2026-01-08,57,9,26
2026-01-09,57,9,14
2026-01-10,57,9,6
2026-01-11,57,9,1
2026-01-12,57,9,2
2026-01-13,58,12,7
2026-01-14,58,12,9
2026-01-15,58,12,5
2026-01-16,58,12,9
2026-01-17,58,12,5
2026-01-18,58,12,3
2026-01-19,58,12,4
2026-01-20,58,12,1
2026-01-21,58,12,6
2026-01-22,58,12,4
2026-01-23,58,12,0
2026-01-24,58,12,2
2026-01-25,58,12,3
2026-01-26,58,12,7
2026-01-27,57,13,11
2026-01-28,57,13,6
2026-01-29,57,13,20
2026-01-30,57,13,4
2026-01-31,6,13,11
2026-02-01,6,13,7
2026-02-02,6,13,5
2026-02-03,6,13,6
2026-02-04,6,13,3
2026-02-05,6,13,10
2026-02-06,6,13,1
